LOOKUP COL,RETURN THIS
Adelaide (C),Adelaide (C)
Adelaide Hills (DC),Adelaide Hills (DC)
Albany (C),Albany (C)
Albury (C),Albury (C)
Alexandrina (DC),Alexandrina (DC)
Alice Springs (T),Alice Springs (T)
Alpine (S),Alpine (S)
ALPINE SHIRE,Alpine (S)
Anangu Pitjantjatjara (AC),Anangu Pitjantjatjara (AC)
Ararat (RC),Ararat (RC)
ARARAT RURAL CITY,Ararat (RC)
Armadale (C),Armadale (C)
Armidale Dumaresq (A),Armidale Dumaresq (A)
Ashfield (A),Ashfield (A)
Auburn (C),Auburn (C)
Augusta-Margaret River (S),Augusta-Margaret River (S)
Ballarat (C),Ballarat (C)
BALLARAT CITY,Ballarat (C)
Ballina (A),Ballina (A)
Balonne (S),Balonne (S)
Balranald (A),Balranald (A)
Banana (S),Banana (S)
Bankstown (C),Bankstown (C)
Banyule (C),Banyule (C)
BANYULE CITY,Banyule (C)
Barcaldine (R),Barcaldine (R)
Barkly (R),Barkly (R)
Barossa (DC),Barossa (DC)
Barunga West (DC),Barunga West (DC)
Bass Coast (S),Bass Coast (S)
BASS COAST SHIRE,Bass Coast (S)
Bassendean (T),Bassendean (T)
Bathurst Regional (A),Bathurst Regional (A)
Baw Baw (S),Baw Baw (S)
BAW BAW SHIRE,Baw Baw (S)
Bayside (C),Bayside (C)
BAYSIDE CITY,Bayside (C)
Bayswater (C),Bayswater (C)
Bega Valley (A),Bega Valley (A)
Bellingen (A),Bellingen (A)
Belmont (C),Belmont (C)
Benalla (RC),Benalla (RC)
BENALLA RURAL CITY,Benalla (RC)
Berri and Barmera (DC),Berri and Barmera (DC)
Berrigan (A),Berrigan (A)
Blackall-Tambo (R),Blackall-Tambo (R)
Blacktown (C),Blacktown (C)
Bland (A),Bland (A)
Blayney (A),Blayney (A)
Blue Mountains (C),Blue Mountains (C)
Bogan (A),Bogan (A)
Bombala (A),Bombala (A)
Boorowa (A),Boorowa (A)
Boroondara (C),Boroondara (C)
BOROONDARA CITY,Boroondara (C)
Botany Bay (C),Botany Bay (C)
Boulia (S),Boulia (S)
Bourke (A),Bourke (A)
Break O'Day (M),Break O'Day (M)
Brighton (M),Brighton (M)
Brimbank (C),Brimbank (C)
BRIMBANK CITY,Brimbank (C)
Brisbane (C),Brisbane (C)
Broken Hill (C),Broken Hill (C)
Broome (S),Broome (S)
Buloke (S),Buloke (S)
BULOKE SHIRE,Buloke (S)
Bunbury (C),Bunbury (C)
Bundaberg (R),Bundaberg (R)
Burdekin (S),Burdekin (S)
Burnie (C),Burnie (C)
Burnside (C),Burnside (C)
Burwood (A),Burwood (A)
Busselton (C),Busselton (C)
Byron (A),Byron (A)
Cabonne (A),Cabonne (A)
Cairns (R),Cairns (R)
Cambridge (T),Cambridge (T)
Camden (A),Camden (A)
Campaspe (S),Campaspe (S)
CAMPASPE SHIRE,Campaspe (S)
Campbelltown (C),Campbelltown (C)
Canada Bay (A),Canada Bay (A)
Canning (C),Canning (C)
Canterbury (C),Canterbury (C)
Capel (S),Capel (S)
Cardinia (S),Cardinia (S)
CARDINIA SHIRE,Cardinia (S)
Carnarvon (S),Carnarvon (S)
Carpentaria (S),Carpentaria (S)
Carrathool (A),Carrathool (A)
Casey (C),Casey (C)
CASEY CITY,Casey (C)
Cassowary Coast (R),Cassowary Coast (R)
Central Coast (M),Central Coast (M)
Central Darling (A),Central Darling (A)
Central Desert (R),Central Desert (R)
Central Goldfields (S),Central Goldfields (S)
CENTRAL GOLDFIELDS SHIRE,Central Goldfields (S)
Central Highlands (M),Central Highlands (M)
Central Highlands (R),Central Highlands (R)
Cessnock (C),Cessnock (C)
Charles Sturt (C),Charles Sturt (C)
Charters Towers (R),Charters Towers (R)
Chittering (S),Chittering (S)
Circular Head (M),Circular Head (M)
Clare and Gilbert Valleys (DC),Clare and Gilbert Valleys (DC)
Claremont (T),Claremont (T)
Clarence (C),Clarence (C)
Clarence Valley (A),Clarence Valley (A)
Cloncurry (S),Cloncurry (S)
Cobar (A),Cobar (A)
Cockburn (C),Cockburn (C)
Coffs Harbour (C),Coffs Harbour (C)
COLAC OTWAY SHIRE,Colac-Otway (S)
Colac-Otway (S),Colac-Otway (S)
Conargo (A),Conargo (A)
Coober Pedy (DC),Coober Pedy (DC)
Coolamon (A),Coolamon (A)
Coolgardie (S),Coolgardie (S)
Cooma-Monaro (A),Cooma-Monaro (A)
Coonamble (A),Coonamble (A)
Cootamundra (A),Cootamundra (A)
Copper Coast (DC),Copper Coast (DC)
Corangamite (S),Corangamite (S)
CORANGAMITE SHIRE,Corangamite (S)
Corowa Shire (A),Corowa Shire (A)
Cottesloe (T),Cottesloe (T)
Cowra (A),Cowra (A)
Croydon (S),Croydon (S)
Dalwallinu (S),Dalwallinu (S)
Dardanup (S),Dardanup (S)
Darebin (C),Darebin (C)
DAREBIN CITY,Darebin (C)
Darwin (C),Darwin (C)
Deniliquin (A),Deniliquin (A)
Derby-West Kimberley (S),Derby-West Kimberley (S)
Derwent Valley (M),Derwent Valley (M)
Devonport (C),Devonport (C)
Dorset (M),Dorset (M)
Douglas (S),Douglas (S)
Dubbo (C),Dubbo (C)
Dungog (A),Dungog (A)
East Arnhem (R),East Arnhem (R)
East Fremantle (T),East Fremantle (T)
East Gippsland (S),East Gippsland (S)
EAST GIPPSLAND SHIRE,East Gippsland (S)
East Pilbara (S),East Pilbara (S)
Esperance (S),Esperance (S)
Eurobodalla (A),Eurobodalla (A)
Exmouth (S),Exmouth (S)
Fairfield (C),Fairfield (C)
FALLS CREEK ALPINE RESORT (UNINCORPORATED),Unincorporated Vic
Flinders (M),Flinders (M)
Forbes (A),Forbes (A)
Frankston (C),Frankston (C)
FRANKSTON CITY,Frankston (C)
Fraser Coast (R),Fraser Coast (R)
Fremantle (C),Fremantle (C)
FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),Frankston (C)
Gannawarra (S),Gannawarra (S)
GANNAWARRA SHIRE,Gannawarra (S)
Gawler (T),Gawler (T)
George Town (M),George Town (M)
Gilgandra (A),Gilgandra (A)
Gladstone (R),Gladstone (R)
Glen Eira (C),Glen Eira (C)
GLEN EIRA CITY,Glen Eira (C)
Glen Innes Severn (A),Glen Innes Severn (A)
Glenelg (S),Glenelg (S)
GLENELG SHIRE,Glenelg (S)
Glenorchy (C),Glenorchy (C)
Gloucester (A),Gloucester (A)
Gold Coast (C),Gold Coast (C)
Golden Plains (S),Golden Plains (S)
GOLDEN PLAINS SHIRE,Golden Plains (S)
Goondiwindi (R),Goondiwindi (R)
Gosford (C),Gosford (C)
Gosnells (C),Gosnells (C)
Goulburn Mulwaree (A),Goulburn Mulwaree (A)
Grant (DC),Grant (DC)
Great Lakes (A),Great Lakes (A)
Greater Bendigo (C),Greater Bendigo (C)
GREATER BENDIGO CITY,Greater Bendigo (C)
Greater Dandenong (C),Greater Dandenong (C)
GREATER DANDENONG CITY,Greater Dandenong (C)
Greater Geelong (C),Greater Geelong (C)
GREATER GEELONG CITY,Greater Geelong (C)
Greater Geraldton (C),Greater Geraldton (C)
Greater Hume Shire (A),Greater Hume Shire (A)
Greater Shepparton (C),Greater Shepparton (C)
GREATER SHEPPARTON CITY,Greater Shepparton (C)
Greater Taree (C),Greater Taree (C)
Griffith (C),Griffith (C)
Gundagai (A),Gundagai (A)
Gunnedah (A),Gunnedah (A)
Guyra (A),Guyra (A)
Gwydir (A),Gwydir (A)
Gympie (R),Gympie (R)
Harden (A),Harden (A)
Harvey (S),Harvey (S)
Hawkesbury (C),Hawkesbury (C)
Hay (A),Hay (A)
Hepburn (S),Hepburn (S)
HEPBURN SHIRE,Hepburn (S)
Hinchinbrook (S),Hinchinbrook (S)
Hindmarsh (S),Hindmarsh (S)
HINDMARSH SHIRE,Hindmarsh (S)
Hobart (C),Hobart (C)
Hobsons Bay (C),Hobsons Bay (C)
HOBSONS BAY CITY,Hobsons Bay (C)
Holdfast Bay (C),Holdfast Bay (C)
Holroyd (C),Holroyd (C)
Hornsby (A),Hornsby (A)
Horsham (RC),Horsham (RC)
HORSHAM RURAL CITY,Horsham (RC)
Hume (C),Hume (C)
HUME CITY,Hume (C)
Hunters Hill (A),Hunters Hill (A)
Huon Valley (M),Huon Valley (M)
Hurstville (C),Hurstville (C)
Indigo (S),Indigo (S)
INDIGO SHIRE,Indigo (S)
Interstate,Interstate
Inverell (A),Inverell (A)
Ipswich (C),Ipswich (C)
Isaac (R),Isaac (R)
Jerilderie (A),Jerilderie (A)
Joondalup (C),Joondalup (C)
Junee (A),Junee (A)
Kalamunda (S),Kalamunda (S)
Kalgoorlie/Boulder (C),Kalgoorlie/Boulder (C)
Kangaroo Island (DC),Kangaroo Island (DC)
Karratha (C),Karratha (C)
Katanning (S),Katanning (S)
Katherine (T),Katherine (T)
Kempsey (A),Kempsey (A)
Kentish (M),Kentish (M)
Kiama (A),Kiama (A)
King Island (M),King Island (M)
Kingborough (M),Kingborough (M)
Kingston (C),Kingston (C)
Kingston (DC),Kingston (DC)
KINGSTON CITY,Kingston (C)
Knox (C),Knox (C)
KNOX CITY,Knox (C)
Kogarah (C),Kogarah (C)
Ku-ring-gai (A),Ku-ring-gai (A)
Kwinana (C),Kwinana (C)
Kyogle (A),Kyogle (A)
Lachlan (A),Lachlan (A)
Lake Macquarie (C),Lake Macquarie (C)
Lane Cove (A),Lane Cove (A)
Latrobe (C),Latrobe (C)
Latrobe (M),Latrobe (M)
LATROBE CITY,Latrobe (M)
Launceston (C),Launceston (C)
Leeton (A),Leeton (A)
Leichhardt (A),Leichhardt (A)
Light (RegC),Light (RegC)
Lismore (C),Lismore (C)
Litchfield (M),Litchfield (M)
Lithgow (C),Lithgow (C)
Liverpool (C),Liverpool (C)
Liverpool Plains (A),Liverpool Plains (A)
Livingstone (S),Livingstone (S)
Lockhart (A),Lockhart (A)
Lockyer Valley (R),Lockyer Valley (R)
Loddon (S),Loddon (S)
LODDON SHIRE,Loddon (S)
Logan (C),Logan (C)
Longreach (R),Longreach (R)
Lower Eyre Peninsula (DC),Lower Eyre Peninsula (DC)
Loxton Waikerie (DC),Loxton Waikerie (DC)
MacDonnell (R),MacDonnell (R)
Macedon Ranges (S),Macedon Ranges (S)
