LOOKUP,RETURN,REGION
Adelaide (C),Adelaide (C),Interstate
Adelaide Hills (DC),Adelaide Hills (DC),Interstate
Albany (C),Albany (C),Interstate
Albury (C),Albury (C),Interstate
Alexandrina (DC),Alexandrina (DC),Interstate
Alice Springs (T),Alice Springs (T),Interstate
Alpine (S),Alpine (S),Regional
ALPINE SHIRE,Alpine (S),Regional
Anangu Pitjantjatjara (AC),Anangu Pitjantjatjara (AC),Interstate
Ararat (RC),Ararat (RC),Regional
ARARAT RURAL CITY,Ararat (RC),Regional
Armadale (C),Armadale (C),Interstate
Armidale Dumaresq (A),Armidale Dumaresq (A),Interstate
Ashfield (A),Ashfield (A),Interstate
Auburn (C),Auburn (C),Interstate
Augusta-Margaret River (S),Augusta-Margaret River (S),Interstate
Ballarat (C),Ballarat (C),Regional
BALLARAT CITY,Ballarat (C),Regional
Ballina (A),Ballina (A),Interstate
Balonne (S),Balonne (S),Interstate
Balranald (A),Balranald (A),Interstate
Banana (S),Banana (S),Interstate
Bankstown (C),Bankstown (C),Interstate
Banyule (C),Banyule (C),Metro
BANYULE CITY,Banyule (C),Metro
Barcaldine (R),Barcaldine (R),Interstate
Barkly (R),Barkly (R),Interstate
Barossa (DC),Barossa (DC),Interstate
Barunga West (DC),Barunga West (DC),Interstate
Bass Coast (S),Bass Coast (S),Regional
BASS COAST SHIRE,Bass Coast (S),Regional
Bassendean (T),Bassendean (T),Interstate
Bathurst Regional (A),Bathurst Regional (A),Interstate
Baw Baw (S),Baw Baw (S),Regional
BAW BAW SHIRE,Baw Baw (S),Regional
Bayside (C),Bayside (C),Metro
BAYSIDE CITY,Bayside (C),Metro
Bayswater (C),Bayswater (C),Interstate
Bega Valley (A),Bega Valley (A),Interstate
Bellingen (A),Bellingen (A),Interstate
Belmont (C),Belmont (C),Interstate
Benalla (RC),Benalla (RC),Regional
BENALLA RURAL CITY,Benalla (RC),Regional
Berri and Barmera (DC),Berri and Barmera (DC),Interstate
Berrigan (A),Berrigan (A),Interstate
Blackall-Tambo (R),Blackall-Tambo (R),Interstate
Blacktown (C),Blacktown (C),Interstate
Bland (A),Bland (A),Interstate
Blayney (A),Blayney (A),Interstate
Blue Mountains (C),Blue Mountains (C),Interstate
Bogan (A),Bogan (A),Interstate
Bombala (A),Bombala (A),Interstate
Boorowa (A),Boorowa (A),Interstate
Boroondara (C),Boroondara (C),Metro
BOROONDARA CITY,Boroondara (C),Metro
Botany Bay (C),Botany Bay (C),Interstate
Boulia (S),Boulia (S),Interstate
Bourke (A),Bourke (A),Interstate
Break O'Day (M),Break O'Day (M),Interstate
Brighton (M),Brighton (M),Interstate
Brimbank (C),Brimbank (C),Metro
BRIMBANK CITY,Brimbank (C),Metro
Brisbane (C),Brisbane (C),Interstate
Broken Hill (C),Broken Hill (C),Interstate
Broome (S),Broome (S),Interstate
Buloke (S),Buloke (S),Regional
BULOKE SHIRE,Buloke (S),Regional
Bunbury (C),Bunbury (C),Interstate
Bundaberg (R),Bundaberg (R),Interstate
Burdekin (S),Burdekin (S),Interstate
Burnie (C),Burnie (C),Interstate
Burnside (C),Burnside (C),Interstate
Burwood (A),Burwood (A),Interstate
Busselton (C),Busselton (C),Interstate
Byron (A),Byron (A),Interstate
Cabonne (A),Cabonne (A),Interstate
Cairns (R),Cairns (R),Interstate
Cambridge (T),Cambridge (T),Interstate
Camden (A),Camden (A),Interstate
Campaspe (S),Campaspe (S),Regional
CAMPASPE SHIRE,Campaspe (S),Regional
Campbelltown (C),Campbelltown (C),Interstate
Canada Bay (A),Canada Bay (A),Interstate
Canning (C),Canning (C),Interstate
Canterbury (C),Canterbury (C),Interstate
Capel (S),Capel (S),Interstate
Cardinia (S),Cardinia (S),Metro
CARDINIA SHIRE,Cardinia (S),Metro
Carnarvon (S),Carnarvon (S),Interstate
Carpentaria (S),Carpentaria (S),Interstate
Carrathool (A),Carrathool (A),Interstate
Casey (C),Casey (C),Metro
CASEY CITY,Casey (C),Metro
Cassowary Coast (R),Cassowary Coast (R),Interstate
Central Coast (M),Central Coast (M),Interstate
Central Darling (A),Central Darling (A),Interstate
Central Desert (R),Central Desert (R),Interstate
Central Goldfields (S),Central Goldfields (S),Regional
CENTRAL GOLDFIELDS SHIRE,Central Goldfields (S),Regional
Central Highlands (M),Central Highlands (M),Interstate
Central Highlands (R),Central Highlands (R),Interstate
